DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2006-07-02 21:00:00,1.27799,1.27837,1.27773,1.27811,0.00010,615
2006-07-02 21:01:00,1.27792,1.27819,1.27790,1.27791,0.00010,781
2006-07-02 21:02:00,1.27798,1.27806,1.27788,1.27797,0.00004,565
2006-07-02 21:03:00,1.27800,1.27808,1.27782,1.27787,0.00014,1096
2006-07-02 21:04:00,1.27787,1.27799,1.27774,1.27777,0.00016,882
2006-07-02 21:05:00,1.27797,1.27802,1.27780,1.27780,0.00010,782
2006-07-02 21:06:00,1.27793,1.27805,1.27768,1.27771,0.00016,581
2006-07-02 21:07:00,1.27780,1.27801,1.27778,1.27786,0.00020,1008
2006-07-02 21:08:00,1.27807,1.27812,1.27791,1.27800,0.00010,643
2006-07-02 21:09:00,1.27782,1.27811,1.27778,1.27793,0.00030,647
2006-07-02 21:10:00,1.27795,1.27810,1.27792,1.27800,0.00016,802
2006-07-02 21:11:00,1.27812,1.27815,1.27793,1.27800,0.00014,628
2006-07-02 21:12:00,1.27803,1.27836,1.27803,1.27815,0.00020,718
2006-07-02 21:13:00,1.27802,1.27836,1.27795,1.27825,0.00010,803
2006-07-02 21:14:00,1.27821,1.27842,1.27812,1.27833,0.00020,734
2006-07-02 21:15:00,1.27828,1.27835,1.27810,1.27812,0.00020,581
2006-07-02 21:16:00,1.27833,1.27840,1.27809,1.27814,0.00010,683
2006-07-02 21:17:00,1.27810,1.27818,1.27783,1.27783,0.00016,689
2006-07-02 21:18:00,1.27808,1.27832,1.27808,1.27812,0.00016,669
2006-07-02 21:19:00,1.27813,1.27834,1.27810,1.27833,0.00010,780
2006-07-02 21:20:00,1.27820,1.27830,1.27805,1.27820,0.00016,880
2006-07-02 21:21:00,1.27827,1.27827,1.27752,1.27815,0.00010,792
2006-07-02 21:22:00,1.27801,1.27827,1.27794,1.27802,0.00010,767
2006-07-02 21:23:00,1.27791,1.27808,1.27786,1.27807,0.00016,835
2006-07-02 21:24:00,1.27793,1.27806,1.27784,1.27795,0.00010,777
2006-07-02 21:25:00,1.27800,1.27819,1.27795,1.27812,0.00004,554
2006-07-02 21:26:00,1.27812,1.27826,1.27794,1.27794,0.00026,713
2006-07-02 21:27:00,1.27816,1.27840,1.27810,1.27833,0.00016,576
2006-07-02 21:28:00,1.27821,1.27843,1.27811,1.27820,0.00010,885
2006-07-02 21:29:00,1.27815,1.27841,1.27804,1.27821,0.00010,828
2006-07-02 21:30:00,1.27821,1.27858,1.27819,1.27848,0.00010,681
2006-07-02 21:31:00,1.27829,1.27853,1.27828,1.27840,0.00026,813
2006-07-02 21:32:00,1.27827,1.27856,1.27825,1.27845,0.00010,1057
2006-07-02 21:33:00,1.27837,1.27859,1.27832,1.27840,0.00010,734
2006-07-02 21:34:00,1.27832,1.27850,1.27827,1.27838,0.00016,809
2006-07-02 21:35:00,1.27840,1.27860,1.27796,1.27796,0.00010,567
2006-07-02 21:36:00,1.27780,1.27782,1.27763,1.27775,0.00010,656
2006-07-02 21:37:00,1.27770,1.27782,1.27760,1.27766,0.00020,456
2006-07-02 21:38:00,1.27776,1.27790,1.27765,1.27778,0.00014,1191
2006-07-02 21:39:00,1.27787,1.27787,1.27771,1.27775,0.00016,296
2006-07-02 21:40:00,1.27779,1.27788,1.27764,1.27775,0.00010,1319
2006-07-02 21:41:00,1.27778,1.27791,1.27761,1.27770,0.00026,986
2006-07-02 21:42:00,1.27775,1.27792,1.27767,1.27787,0.00016,902
2006-07-02 21:43:00,1.27783,1.27792,1.27770,1.27784,0.00010,916
2006-07-02 21:44:00,1.27783,1.27802,1.27776,1.27800,0.00010,714
2006-07-02 21:45:00,1.27791,1.27803,1.27777,1.27797,0.00006,1096
2006-07-02 21:46:00,1.27793,1.27796,1.27781,1.27787,0.00010,849
2006-07-02 21:47:00,1.27788,1.27788,1.27769,1.27772,0.00010,671
2006-07-02 21:48:00,1.27773,1.27782,1.27744,1.27744,0.00070,397
2006-07-02 21:49:00,1.27761,1.27776,1.27755,1.27772,0.00016,812
2006-07-02 21:50:00,1.27768,1.27784,1.27765,1.27779,0.00014,658
2006-07-02 21:51:00,1.27780,1.27786,1.27768,1.27778,0.00006,826
2006-07-02 21:52:00,1.27789,1.27795,1.27770,1.27779,0.00020,1100
2006-07-02 21:53:00,1.27790,1.27798,1.27783,1.27785,0.00020,781
2006-07-02 21:54:00,1.27792,1.27796,1.27775,1.27775,0.00015,907
2006-07-02 21:55:00,1.27787,1.27792,1.27771,1.27777,0.00016,1077
2006-07-02 21:56:00,1.27800,1.27870,1.27795,1.27849,0.00010,1105
2006-07-02 21:57:00,1.27852,1.27858,1.27838,1.27840,0.00014,462
2006-07-02 21:58:00,1.27846,1.27858,1.27841,1.27852,0.00016,862
2006-07-02 21:59:00,1.27830,1.27843,1.27815,1.27826,0.00010,919
2006-07-02 22:00:00,1.27803,1.27836,1.27803,1.27825,0.00010,629
2006-07-02 22:01:00,1.27832,1.27847,1.27830,1.27835,0.00010,647
2006-07-02 22:02:00,1.27837,1.27843,1.27825,1.27830,0.00014,885
2006-07-02 22:03:00,1.27831,1.27843,1.27828,1.27835,0.00006,407
2006-07-02 22:04:00,1.27827,1.27863,1.27827,1.27863,0.00010,751
2006-07-02 22:05:00,1.27858,1.27865,1.27839,1.27854,0.00016,1302
2006-07-02 22:06:00,1.27863,1.27863,1.27836,1.27843,0.00010,636
2006-07-02 22:07:00,1.27840,1.27851,1.27831,1.27834,0.00010,660
2006-07-02 22:08:00,1.27837,1.27854,1.27826,1.27842,0.00010,898
2006-07-02 22:09:00,1.27843,1.27848,1.27824,1.27845,0.00010,556
2006-07-02 22:10:00,1.27844,1.27844,1.27829,1.27832,0.00010,813
2006-07-02 22:11:00,1.27825,1.27837,1.27821,1.27837,0.00006,641
2006-07-02 22:12:00,1.27835,1.27835,1.27815,1.27823,0.00010,519
2006-07-02 22:13:00,1.27830,1.27842,1.27816,1.27824,0.00020,933
2006-07-02 22:14:00,1.27835,1.27842,1.27819,1.27829,0.00010,863
2006-07-02 22:15:00,1.27832,1.27839,1.27821,1.27834,0.00016,668
2006-07-02 22:16:00,1.27833,1.27833,1.27812,1.27817,0.00010,518
2006-07-02 22:17:00,1.27819,1.27825,1.27805,1.27820,0.00010,1080
2006-07-02 22:18:00,1.27813,1.27825,1.27804,1.27809,0.00025,650
2006-07-02 22:19:00,1.27822,1.27825,1.27809,1.27815,0.00010,1127
2006-07-02 22:20:00,1.27805,1.27828,1.27805,1.27819,0.00010,647
2006-07-02 22:21:00,1.27824,1.27828,1.27807,1.27820,0.00020,844
2006-07-02 22:22:00,1.27815,1.27823,1.27804,1.27812,0.00010,557
2006-07-02 22:23:00,1.27815,1.27824,1.27802,1.27804,0.00015,1055
2006-07-02 22:24:00,1.27820,1.27828,1.27811,1.27818,0.00010,964
2006-07-02 22:25:00,1.27821,1.27828,1.27813,1.27819,0.00010,549
2006-07-02 22:26:00,1.27817,1.27832,1.27812,1.27832,0.00010,332
2006-07-02 22:27:00,1.27830,1.27835,1.27823,1.27835,0.00010,602
2006-07-02 22:28:00,1.27830,1.27830,1.27815,1.27819,0.00010,463
2006-07-02 22:29:00,1.27819,1.27825,1.27809,1.27820,0.00010,1281
2006-07-02 22:30:00,1.27816,1.27825,1.27805,1.27814,0.00016,658
2006-07-02 22:31:00,1.27822,1.27828,1.27807,1.27814,0.00016,632
2006-07-02 22:32:00,1.27810,1.27827,1.27810,1.27825,0.00010,349
2006-07-02 22:33:00,1.27827,1.27834,1.27811,1.27815,0.00016,905
2006-07-02 22:34:00,1.27824,1.27837,1.27815,1.27817,0.00016,641
2006-07-02 22:35:00,1.27825,1.27825,1.27794,1.27818,0.00010,838
