DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2006-01-01 22:00:00,1.18436,1.18450,1.18436,1.18437,0.00010,528
2006-01-01 22:01:00,1.18437,1.18448,1.18432,1.18441,0.00010,406
2006-01-01 22:02:00,1.18443,1.18443,1.18426,1.18434,0.00014,415
2006-01-01 22:03:00,1.18424,1.18451,1.18424,1.18445,0.00010,495
2006-01-01 22:04:00,1.18432,1.18449,1.18430,1.18444,0.00010,607
2006-01-01 22:05:00,1.18437,1.18450,1.18434,1.18434,0.00016,738
2006-01-01 22:06:00,1.18443,1.18451,1.18439,1.18442,0.00010,488
2006-01-01 22:07:00,1.18443,1.18448,1.18432,1.18447,0.00010,331
2006-01-01 22:08:00,1.18438,1.18451,1.18428,1.18438,0.00010,560
2006-01-01 22:09:00,1.18443,1.18447,1.18430,1.18435,0.00010,371
2006-01-01 22:10:00,1.18441,1.18453,1.18438,1.18439,0.00006,588
2006-01-01 22:11:00,1.18445,1.18450,1.18437,1.18439,0.00006,487
2006-01-01 22:12:00,1.18434,1.18448,1.18433,1.18439,0.00010,604
2006-01-01 22:13:00,1.18439,1.18447,1.18433,1.18447,0.00020,677
2006-01-01 22:14:00,1.18450,1.18450,1.18425,1.18425,0.00024,105
2006-01-01 22:15:00,1.18432,1.18446,1.18432,1.18434,0.00016,643
2006-01-01 22:16:00,1.18442,1.18449,1.18437,1.18439,0.00010,432
2006-01-01 22:17:00,1.18437,1.18453,1.18433,1.18445,0.00010,641
2006-01-01 22:18:00,1.18446,1.18453,1.18439,1.18439,0.00016,165
2006-01-01 22:19:00,1.18436,1.18450,1.18429,1.18438,0.00010,490
2006-01-01 22:20:00,1.18447,1.18453,1.18443,1.18444,0.00010,246
2006-01-01 22:21:00,1.18445,1.18452,1.18430,1.18431,0.00020,304
2006-01-01 22:22:00,1.18443,1.18443,1.18432,1.18437,0.00010,427
2006-01-01 22:23:00,1.18440,1.18448,1.18424,1.18436,0.00015,905
2006-01-01 22:24:00,1.18444,1.18453,1.18435,1.18446,0.00010,478
2006-01-01 22:25:00,1.18448,1.18453,1.18437,1.18443,0.00010,444
