DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2006-06-01 00:00:00,1.28139,1.28139,1.28115,1.28128,0.00006,1094
2006-06-01 00:01:00,1.28101,1.28124,1.28089,1.28124,0.00006,1159
2006-06-01 00:02:00,1.28109,1.28119,1.28101,1.28110,0.00015,687
2006-06-01 00:03:00,1.28114,1.28126,1.28102,1.28115,0.00010,923
2006-06-01 00:04:00,1.28110,1.28125,1.28104,1.28111,0.00010,1029
2006-06-01 00:05:00,1.28098,1.28114,1.28092,1.28105,0.00010,1077
2006-06-01 00:06:00,1.28116,1.28116,1.28096,1.28101,0.00016,504
2006-06-01 00:07:00,1.28106,1.28122,1.28099,1.28122,0.00010,408
2006-06-01 00:08:00,1.28120,1.28133,1.28115,1.28123,0.00010,785
2006-06-01 00:09:00,1.28119,1.28125,1.28107,1.28117,0.00010,786
2006-06-01 00:10:00,1.28119,1.28125,1.28102,1.28115,0.00010,921
2006-06-01 00:11:00,1.28115,1.28123,1.28108,1.28114,0.00016,538
2006-06-01 00:12:00,1.28112,1.28121,1.28106,1.28115,0.00010,882
2006-06-01 00:13:00,1.28100,1.28114,1.28090,1.28098,0.00020,667
2006-06-01 00:14:00,1.28113,1.28113,1.28093,1.28097,0.00010,530
2006-06-01 00:15:00,1.28094,1.28113,1.28094,1.28102,0.00010,750
2006-06-01 00:16:00,1.28102,1.28113,1.28096,1.28100,0.00016,685
2006-06-01 00:17:00,1.28108,1.28121,1.28099,1.28108,0.00010,1361
2006-06-01 00:18:00,1.28104,1.28104,1.28079,1.28084,0.00014,526
2006-06-01 00:19:00,1.28100,1.28110,1.28086,1.28093,0.00020,663
2006-06-01 00:20:00,1.28109,1.28118,1.28098,1.28112,0.00020,471
2006-06-01 00:21:00,1.28115,1.28122,1.28106,1.28111,0.00010,1203
2006-06-01 00:22:00,1.28109,1.28114,1.28091,1.28098,0.00010,823
2006-06-01 00:23:00,1.28090,1.28090,1.28074,1.28079,0.00010,415
2006-06-01 00:24:00,1.28084,1.28084,1.28053,1.28056,0.00004,474
2006-06-01 00:25:00,1.28045,1.28045,1.28023,1.28034,0.00016,512
2006-06-01 00:26:00,1.28042,1.28049,1.28033,1.28039,0.00010,881
