DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2007-05-01 00:00:00,1.36515,1.36520,1.36513,1.36513,0.00024,1855
2007-05-01 00:01:00,1.36514,1.36514,1.36510,1.36511,0.00020,826
2007-05-01 00:02:00,1.36510,1.36518,1.36507,1.36510,0.00020,2187
2007-05-01 00:03:00,1.36515,1.36515,1.36508,1.36510,0.00020,1528
2007-05-01 00:04:00,1.36515,1.36522,1.36510,1.36515,0.00010,2174
2007-05-01 00:05:00,1.36506,1.36517,1.36505,1.36514,0.00010,3995
2007-05-01 00:06:00,1.36515,1.36520,1.36510,1.36510,0.00006,883
2007-05-01 00:07:00,1.36510,1.36510,1.36497,1.36502,0.00016,5052
2007-05-01 00:08:00,1.36503,1.36503,1.36490,1.36490,0.00020,1042
2007-05-01 00:09:00,1.36490,1.36502,1.36490,1.36496,0.00016,2193
2007-05-01 00:10:00,1.36493,1.36506,1.36491,1.36498,0.00020,4337
2007-05-01 00:11:00,1.36502,1.36512,1.36501,1.36512,0.00006,284
2007-05-01 00:12:00,1.36505,1.36513,1.36505,1.36510,0.00010,606
2007-05-01 00:13:00,1.36509,1.36509,1.36494,1.36494,0.00016,327
2007-05-01 00:14:00,1.36496,1.36504,1.36494,1.36494,0.00016,488
2007-05-01 00:15:00,1.36492,1.36497,1.36490,1.36490,0.00010,783
2007-05-01 00:16:00,1.36493,1.36493,1.36487,1.36487,0.00016,250
2007-05-01 00:17:00,1.36495,1.36495,1.36490,1.36490,0.00020,308
2007-05-01 00:18:00,1.36495,1.36495,1.36493,1.36493,0.00014,441
2007-05-01 00:19:00,1.36485,1.36490,1.36474,1.36474,0.00010,373
2007-05-01 00:20:00,1.36499,1.36506,1.36495,1.36497,0.00020,1834
2007-05-01 00:21:00,1.36500,1.36509,1.36495,1.36503,0.00020,2731
2007-05-01 00:22:00,1.36515,1.36518,1.36508,1.36512,0.00010,2042
2007-05-01 00:23:00,1.36515,1.36515,1.36512,1.36515,0.00010,396
2007-05-01 00:24:00,1.36509,1.36510,1.36493,1.36502,0.00010,1985
2007-05-01 00:25:00,1.36495,1.36495,1.36466,1.36469,0.00010,373
2007-05-01 00:26:00,1.36505,1.36505,1.36502,1.36505,0.00010,351
2007-05-01 00:27:00,1.36500,1.36504,1.36497,1.36498,0.00024,1097
2007-05-01 00:28:00,1.36496,1.36500,1.36489,1.36495,0.00010,813
2007-05-01 00:29:00,1.36492,1.36495,1.36492,1.36495,0.00010,291
2007-05-01 00:30:00,1.36482,1.36493,1.36476,1.36493,0.00010,2146
2007-05-01 00:31:00,1.36495,1.36495,1.36487,1.36487,0.00026,2758
2007-05-01 00:32:00,1.36493,1.36500,1.36492,1.36495,0.00020,1967
2007-05-01 00:33:00,1.36497,1.36513,1.36497,1.36501,0.00020,2824
2007-05-01 00:34:00,1.36501,1.36513,1.36500,1.36505,0.00014,1308
2007-05-01 00:35:00,1.36501,1.36504,1.36493,1.36504,0.00010,1043
2007-05-01 00:36:00,1.36499,1.36499,1.36487,1.36490,0.00020,381
2007-05-01 00:37:00,1.36490,1.36498,1.36487,1.36495,0.00010,1061
2007-05-01 00:38:00,1.36495,1.36495,1.36492,1.36495,0.00010,801
2007-05-01 00:39:00,1.36492,1.36498,1.36488,1.36495,0.00010,2824
2007-05-01 00:40:00,1.36487,1.36495,1.36487,1.36495,0.00010,2068
2007-05-01 00:41:00,1.36495,1.36495,1.36490,1.36490,0.00020,732
2007-05-01 00:42:00,1.36490,1.36499,1.36488,1.36491,0.00010,1321
2007-05-01 00:43:00,1.36495,1.36503,1.36490,1.36503,0.00010,2208
2007-05-01 00:44:00,1.36507,1.36510,1.36501,1.36503,0.00016,1203
2007-05-01 00:45:00,1.36505,1.36505,1.36498,1.36500,0.00020,2494
2007-05-01 00:46:00,1.36500,1.36505,1.36500,1.36502,0.00016,1099
2007-05-01 00:47:00,1.36498,1.36505,1.36498,1.36505,0.00010,1373
2007-05-01 00:48:00,1.36505,1.36510,1.36500,1.36503,0.00016,1333
2007-05-01 00:49:00,1.36505,1.36505,1.36497,1.36503,0.00014,411
2007-05-01 00:50:00,1.36498,1.36506,1.36496,1.36502,0.00016,772
2007-05-01 00:51:00,1.36505,1.36505,1.36498,1.36505,0.00010,261
2007-05-01 00:52:00,1.36499,1.36509,1.36496,1.36497,0.00010,1549
2007-05-01 00:53:00,1.36493,1.36493,1.36473,1.36473,0.00010,1626
