DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2009-12-01 00:00:00,1.50351,1.50361,1.50351,1.50355,0.00010,15
2009-12-01 00:01:00,1.50304,1.50312,1.50286,1.50295,0.00010,18
2009-12-01 00:02:00,1.50280,1.50314,1.50276,1.50306,0.00010,22
2009-12-01 00:03:00,1.50317,1.50317,1.50282,1.50290,0.00008,18
2009-12-01 00:04:00,1.50285,1.50313,1.50273,1.50306,0.00008,37
2009-12-01 00:05:00,1.50317,1.50320,1.50287,1.50303,0.00008,23
2009-12-01 00:06:00,1.50298,1.50311,1.50274,1.50311,0.00008,20
2009-12-01 00:07:00,1.50293,1.50349,1.50288,1.50345,0.00010,19
2009-12-01 00:08:00,1.50323,1.50334,1.50302,1.50313,0.00010,24
2009-12-01 00:09:00,1.50332,1.50335,1.50290,1.50323,0.00006,46
2009-12-01 00:10:00,1.50315,1.50322,1.50304,1.50318,0.00010,25
2009-12-01 00:11:00,1.50307,1.50317,1.50292,1.50310,0.00004,81
2009-12-01 00:12:00,1.50306,1.50316,1.50287,1.50302,0.00010,28
2009-12-01 00:13:00,1.50288,1.50302,1.50273,1.50291,0.00008,21
2009-12-01 00:14:00,1.50266,1.50297,1.50265,1.50296,0.00010,19
2009-12-01 00:15:00,1.50301,1.50311,1.50273,1.50306,0.00010,17
2009-12-01 00:16:00,1.50309,1.50324,1.50291,1.50324,0.00008,34
2009-12-01 00:17:00,1.50316,1.50344,1.50306,1.50335,0.00014,22
2009-12-01 00:18:00,1.50347,1.50359,1.50323,1.50351,0.00010,17
2009-12-01 00:19:00,1.50353,1.50353,1.50312,1.50325,0.00010,51
2009-12-01 00:20:00,1.50325,1.50335,1.50275,1.50304,0.00006,41
2009-12-01 00:21:00,1.50293,1.50317,1.50284,1.50295,0.00008,28
2009-12-01 00:22:00,1.50286,1.50309,1.50260,1.50282,0.00008,24
2009-12-01 00:23:00,1.50277,1.50280,1.50248,1.50265,0.00010,16
2009-12-01 00:24:00,1.50274,1.50285,1.50237,1.50279,0.00004,23
2009-12-01 00:25:00,1.50258,1.50297,1.50251,1.50295,0.00010,23
2009-12-01 00:26:00,1.50274,1.50283,1.50261,1.50261,0.00010,32
2009-12-01 00:27:00,1.50274,1.50279,1.50247,1.50263,0.00012,21
2009-12-01 00:28:00,1.50273,1.50289,1.50266,1.50281,0.00010,17
2009-12-01 00:29:00,1.50294,1.50306,1.50247,1.50306,0.00010,55
2009-12-01 00:30:00,1.50291,1.50302,1.50271,1.50278,0.00010,19
2009-12-01 00:31:00,1.50279,1.50279,1.50241,1.50263,0.00010,19
2009-12-01 00:32:00,1.50275,1.50295,1.50264,1.50294,0.00010,36
2009-12-01 00:33:00,1.50275,1.50311,1.50271,1.50297,0.00012,28
2009-12-01 00:34:00,1.50289,1.50308,1.50282,1.50300,0.00012,18
2009-12-01 00:35:00,1.50287,1.50317,1.50280,1.50317,0.00006,20
2009-12-01 00:36:00,1.50274,1.50315,1.50272,1.50296,0.00010,22
2009-12-01 00:37:00,1.50306,1.50309,1.50264,1.50292,0.00010,25
2009-12-01 00:38:00,1.50300,1.50300,1.50249,1.50257,0.00010,19
2009-12-01 00:39:00,1.50256,1.50294,1.50251,1.50269,0.00010,26
2009-12-01 00:40:00,1.50254,1.50269,1.50241,1.50252,0.00008,26
2009-12-01 00:41:00,1.50261,1.50263,1.50216,1.50224,0.00004,21
2009-12-01 00:42:00,1.50208,1.50235,1.50193,1.50216,0.00012,24
2009-12-01 00:43:00,1.50204,1.50214,1.50185,1.50202,0.00016,24
2009-12-01 00:44:00,1.50213,1.50221,1.50187,1.50211,0.00010,23
2009-12-01 00:45:00,1.50194,1.50211,1.50165,1.50165,0.00008,21
2009-12-01 00:46:00,1.50149,1.50195,1.50140,1.50162,0.00006,26
2009-12-01 00:47:00,1.50138,1.50182,1.50138,1.50166,0.00010,19
2009-12-01 00:48:00,1.50186,1.50186,1.50134,1.50162,0.00010,23
2009-12-01 00:49:00,1.50160,1.50174,1.50150,1.50158,0.00010,28
2009-12-01 00:50:00,1.50178,1.50178,1.50139,1.50143,0.00010,21
2009-12-01 00:51:00,1.50140,1.50171,1.50130,1.50166,0.00012,18
2009-12-01 00:52:00,1.50151,1.50182,1.50149,1.50180,0.00006,17
2009-12-01 00:53:00,1.50168,1.50204,1.50160,1.50198,0.00008,24
2009-12-01 00:54:00,1.50160,1.50177,1.50120,1.50120,0.00006,23
2009-12-01 00:55:00,1.50098,1.50130,1.50094,1.50129,0.00008,13
2009-12-01 00:56:00,1.50111,1.50128,1.50085,1.50121,0.00004,24
2009-12-01 00:57:00,1.50102,1.50109,1.50063,1.50081,0.00012,17
2009-12-01 00:58:00,1.50091,1.50096,1.50067,1.50077,0.00010,17
2009-12-01 00:59:00,1.50079,1.50099,1.50071,1.50094,0.00004,37
2009-12-01 01:00:00,1.50064,1.50128,1.50061,1.50114,0.00016,19
2009-12-01 01:01:00,1.50123,1.50126,1.50098,1.50112,0.00008,19
2009-12-01 01:02:00,1.50088,1.50114,1.50069,1.50082,0.00008,18
2009-12-01 01:03:00,1.50070,1.50118,1.50060,1.50118,0.00010,19
2009-12-01 01:04:00,1.50109,1.50141,1.50092,1.50138,0.00008,21
2009-12-01 01:05:00,1.50128,1.50157,1.50106,1.50157,0.00010,23
2009-12-01 01:06:00,1.50165,1.50177,1.50136,1.50177,0.00010,25
