DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2010-04-01 00:00:00,1.35253,1.35259,1.35241,1.35247,0.00010,33
2010-04-01 00:01:00,1.35245,1.35249,1.35213,1.35231,0.00012,38
2010-04-01 00:02:00,1.35216,1.35242,1.35209,1.35234,0.00012,20
2010-04-01 00:03:00,1.35241,1.35277,1.35227,1.35277,0.00012,35
2010-04-01 00:04:00,1.35272,1.35323,1.35258,1.35308,0.00010,36
2010-04-01 00:05:00,1.35295,1.35352,1.35285,1.35349,0.00006,24
2010-04-01 00:06:00,1.35333,1.35424,1.35323,1.35417,0.00010,29
2010-04-01 00:07:00,1.35403,1.35416,1.35389,1.35391,0.00012,31
2010-04-01 00:08:00,1.35363,1.35397,1.35350,1.35352,0.00012,27
2010-04-01 00:09:00,1.35377,1.35396,1.35343,1.35371,0.00012,73
2010-04-01 00:10:00,1.35362,1.35388,1.35344,1.35366,0.00010,47
2010-04-01 00:11:00,1.35386,1.35387,1.35343,1.35359,0.00010,15
2010-04-01 00:12:00,1.35374,1.35441,1.35374,1.35437,0.00007,21
2010-04-01 00:13:00,1.35435,1.35454,1.35381,1.35423,0.00010,52
2010-04-01 00:14:00,1.35406,1.35431,1.35379,1.35391,0.00010,32
2010-04-01 00:15:00,1.35398,1.35414,1.35346,1.35385,0.00010,53
2010-04-01 00:16:00,1.35390,1.35429,1.35364,1.35429,0.00012,63
2010-04-01 00:17:00,1.35430,1.35431,1.35384,1.35389,0.00010,16
2010-04-01 00:18:00,1.35406,1.35408,1.35368,1.35383,0.00008,24
2010-04-01 00:19:00,1.35390,1.35390,1.35351,1.35372,0.00012,34
2010-04-01 00:20:00,1.35372,1.35443,1.35364,1.35436,0.00008,35
2010-04-01 00:21:00,1.35425,1.35458,1.35415,1.35458,0.00010,20
2010-04-01 00:22:00,1.35483,1.35518,1.35457,1.35507,0.00012,28
2010-04-01 00:23:00,1.35511,1.35521,1.35467,1.35491,0.00010,13
2010-04-01 00:24:00,1.35499,1.35541,1.35486,1.35536,0.00012,19
2010-04-01 00:25:00,1.35507,1.35600,1.35502,1.35562,0.00006,51
2010-04-01 00:26:00,1.35538,1.35572,1.35532,1.35566,0.00012,28
2010-04-01 00:27:00,1.35562,1.35578,1.35550,1.35555,0.00020,16
2010-04-01 00:28:00,1.35557,1.35571,1.35538,1.35544,0.00012,22
2010-04-01 00:29:00,1.35536,1.35554,1.35489,1.35511,0.00012,33
2010-04-01 00:30:00,1.35497,1.35516,1.35484,1.35503,0.00016,39
2010-04-01 00:31:00,1.35512,1.35518,1.35473,1.35492,0.00010,45
2010-04-01 00:32:00,1.35495,1.35510,1.35467,1.35473,0.00012,26
2010-04-01 00:33:00,1.35480,1.35493,1.35445,1.35472,0.00010,36
2010-04-01 00:34:00,1.35483,1.35489,1.35415,1.35436,0.00008,59
2010-04-01 00:35:00,1.35428,1.35455,1.35424,1.35443,0.00010,49
2010-04-01 00:36:00,1.35437,1.35465,1.35429,1.35465,0.00012,109
2010-04-01 00:37:00,1.35475,1.35486,1.35451,1.35459,0.00010,17
2010-04-01 00:38:00,1.35481,1.35524,1.35477,1.35495,0.00006,25
2010-04-01 00:39:00,1.35489,1.35502,1.35454,1.35454,0.00012,18
2010-04-01 00:40:00,1.35452,1.35475,1.35451,1.35472,0.00010,33
2010-04-01 00:41:00,1.35476,1.35486,1.35435,1.35455,0.00010,43
2010-04-01 00:42:00,1.35445,1.35454,1.35434,1.35436,0.00010,21
2010-04-01 00:43:00,1.35417,1.35449,1.35413,1.35447,0.00012,24
2010-04-01 00:44:00,1.35443,1.35457,1.35421,1.35433,0.00014,66
2010-04-01 00:45:00,1.35449,1.35452,1.35418,1.35438,0.00014,26
2010-04-01 00:46:00,1.35423,1.35455,1.35413,1.35446,0.00012,35
2010-04-01 00:47:00,1.35441,1.35444,1.35396,1.35412,0.00008,25
2010-04-01 00:48:00,1.35421,1.35427,1.35377,1.35382,0.00012,21
2010-04-01 00:49:00,1.35396,1.35432,1.35380,1.35415,0.00014,55
2010-04-01 00:50:00,1.35415,1.35447,1.35394,1.35438,0.00016,89
2010-04-01 00:51:00,1.35455,1.35457,1.35402,1.35419,0.00014,24
2010-04-01 00:52:00,1.35431,1.35443,1.35389,1.35415,0.00010,42
2010-04-01 00:53:00,1.35392,1.35428,1.35359,1.35369,0.00012,98
2010-04-01 00:54:00,1.35366,1.35388,1.35267,1.35290,0.00010,88
2010-04-01 00:55:00,1.35296,1.35302,1.35235,1.35270,0.00010,27
2010-04-01 00:56:00,1.35288,1.35316,1.35272,1.35292,0.00016,53
2010-04-01 00:57:00,1.35304,1.35324,1.35294,1.35314,0.00014,29
2010-04-01 00:58:00,1.35280,1.35296,1.35268,1.35268,0.00014,15
