DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2009-08-02 21:00:00,1.42535,1.42545,1.42527,1.42545,0.00004,55
2009-08-02 21:01:00,1.42539,1.42539,1.42525,1.42532,0.00012,63
2009-08-02 21:02:00,1.42535,1.42539,1.42528,1.42534,0.00012,104
2009-08-02 21:03:00,1.42543,1.42543,1.42524,1.42527,0.00010,40
2009-08-02 21:04:00,1.42527,1.42541,1.42527,1.42533,0.00014,29
2009-08-02 21:05:00,1.42536,1.42538,1.42528,1.42536,0.00008,29
2009-08-02 21:06:00,1.42531,1.42540,1.42528,1.42540,0.00014,20
2009-08-02 21:07:00,1.42540,1.42540,1.42526,1.42539,0.00014,51
2009-08-02 21:08:00,1.42542,1.42543,1.42534,1.42534,0.00014,81
2009-08-02 21:09:00,1.42533,1.42541,1.42530,1.42532,0.00016,57
2009-08-02 21:10:00,1.42543,1.42543,1.42522,1.42522,0.00016,78
2009-08-02 21:11:00,1.42525,1.42535,1.42525,1.42531,0.00014,77
2009-08-02 21:12:00,1.42540,1.42541,1.42525,1.42541,0.00012,76
2009-08-02 21:13:00,1.42542,1.42542,1.42527,1.42539,0.00006,83
2009-08-02 21:14:00,1.42537,1.42543,1.42528,1.42543,0.00008,34
2009-08-02 21:15:00,1.42540,1.42544,1.42536,1.42536,0.00012,50
2009-08-02 21:16:00,1.42527,1.42541,1.42527,1.42528,0.00010,42
2009-08-02 21:17:00,1.42527,1.42540,1.42527,1.42535,0.00012,22
2009-08-02 21:18:00,1.42538,1.42544,1.42528,1.42544,0.00004,32
2009-08-02 21:20:00,1.42540,1.42540,1.42529,1.42535,0.00010,19
2009-08-02 21:21:00,1.42531,1.42541,1.42531,1.42535,0.00012,14
2009-08-02 21:22:00,1.42536,1.42543,1.42536,1.42543,0.00012,21
2009-08-02 21:23:00,1.42542,1.42542,1.42529,1.42534,0.00012,27
2009-08-02 21:24:00,1.42526,1.42540,1.42526,1.42527,0.00010,29
2009-08-02 21:25:00,1.42527,1.42544,1.42527,1.42544,0.00008,88
2009-08-02 21:26:00,1.42534,1.42543,1.42529,1.42535,0.00010,47
2009-08-02 21:27:00,1.42533,1.42542,1.42523,1.42523,0.00016,36
2009-08-02 21:28:00,1.42526,1.42535,1.42524,1.42526,0.00012,54
2009-08-02 21:29:00,1.42527,1.42544,1.42527,1.42536,0.00010,41
2009-08-02 21:30:00,1.42540,1.42542,1.42537,1.42537,0.00010,19
2009-08-02 21:31:00,1.42533,1.42541,1.42530,1.42533,0.00014,20
2009-08-02 21:32:00,1.42526,1.42542,1.42526,1.42534,0.00012,34
2009-08-02 21:33:00,1.42533,1.42543,1.42528,1.42543,0.00010,32
2009-08-02 21:34:00,1.42542,1.42542,1.42526,1.42534,0.00012,94
2009-08-02 21:35:00,1.42541,1.42541,1.42528,1.42534,0.00012,42
2009-08-02 21:36:00,1.42531,1.42542,1.42527,1.42542,0.00010,32
2009-08-02 21:37:00,1.42542,1.42542,1.42527,1.42527,0.00012,38
2009-08-02 21:38:00,1.42528,1.42541,1.42528,1.42534,0.00010,41
2009-08-02 21:39:00,1.42538,1.42538,1.42530,1.42533,0.00010,28
2009-08-02 21:40:00,1.42544,1.42546,1.42531,1.42534,0.00008,25
2009-08-02 21:41:00,1.42535,1.42541,1.42529,1.42532,0.00012,41
2009-08-02 21:42:00,1.42540,1.42540,1.42527,1.42534,0.00012,39
2009-08-02 21:43:00,1.42535,1.42540,1.42527,1.42533,0.00016,51
