DATETIME,OPEN,HIGH,LOW,CLOSED,AV_SPREAD,VOLUME
2010-03-01 00:00:00,1.36385,1.36391,1.36379,1.36385,0.00010,39
2010-03-01 00:01:00,1.36414,1.36428,1.36365,1.36381,0.00012,54
2010-03-01 00:02:00,1.36351,1.36397,1.36351,1.36385,0.00012,31
2010-03-01 00:03:00,1.36368,1.36391,1.36355,1.36366,0.00012,38
2010-03-01 00:04:00,1.36363,1.36377,1.36334,1.36353,0.00010,36
2010-03-01 00:05:00,1.36374,1.36395,1.36335,1.36350,0.00006,28
2010-03-01 00:06:00,1.36362,1.36384,1.36330,1.36357,0.00010,34
2010-03-01 00:07:00,1.36367,1.36367,1.36316,1.36336,0.00012,15
2010-03-01 00:08:00,1.36330,1.36380,1.36327,1.36348,0.00012,21
2010-03-01 00:09:00,1.36354,1.36369,1.36315,1.36336,0.00012,52
2010-03-01 00:10:00,1.36314,1.36357,1.36308,1.36337,0.00010,41
2010-03-01 00:11:00,1.36356,1.36368,1.36327,1.36355,0.00010,28
2010-03-01 00:12:00,1.36369,1.36400,1.36360,1.36397,0.00007,27
2010-03-01 00:13:00,1.36396,1.36410,1.36371,1.36400,0.00012,47
2010-03-01 00:14:00,1.36372,1.36434,1.36372,1.36423,0.00010,39
2010-03-01 00:15:00,1.36422,1.36428,1.36378,1.36395,0.00010,73
2010-03-01 00:16:00,1.36396,1.36408,1.36348,1.36382,0.00012,47
2010-03-01 00:17:00,1.36368,1.36400,1.36359,1.36398,0.00010,16
2010-03-01 00:18:00,1.36384,1.36402,1.36374,1.36397,0.00008,25
2010-03-01 00:19:00,1.36400,1.36415,1.36374,1.36389,0.00012,32
2010-03-01 00:20:00,1.36390,1.36415,1.36376,1.36398,0.00008,26
2010-03-01 00:21:00,1.36407,1.36420,1.36394,1.36407,0.00010,18
2010-03-01 00:22:00,1.36417,1.36420,1.36377,1.36392,0.00012,21
2010-03-01 00:23:00,1.36384,1.36401,1.36376,1.36397,0.00012,17
2010-03-01 00:24:00,1.36387,1.36400,1.36387,1.36395,0.00012,15
2010-03-01 00:25:00,1.36398,1.36404,1.36390,1.36404,0.00006,41
2010-03-01 00:26:00,1.36395,1.36395,1.36334,1.36342,0.00012,19
2010-03-01 00:27:00,1.36332,1.36349,1.36320,1.36333,0.00020,37
2010-03-01 00:28:00,1.36321,1.36328,1.36284,1.36310,0.00012,28
2010-03-01 00:29:00,1.36315,1.36338,1.36299,1.36334,0.00012,37
2010-03-01 00:30:00,1.36316,1.36364,1.36316,1.36355,0.00010,31
2010-03-01 00:31:00,1.36356,1.36366,1.36297,1.36314,0.00010,33
2010-03-01 00:32:00,1.36300,1.36316,1.36287,1.36289,0.00012,17
2010-03-01 00:33:00,1.36300,1.36322,1.36261,1.36292,0.00010,34
2010-03-01 00:34:00,1.36264,1.36307,1.36253,1.36287,0.00008,53
2010-03-01 00:35:00,1.36286,1.36306,1.36266,1.36302,0.00010,37
2010-03-01 00:36:00,1.36301,1.36309,1.36275,1.36296,0.00012,20
2010-03-01 00:37:00,1.36285,1.36320,1.36275,1.36313,0.00010,12
2010-03-01 00:38:00,1.36306,1.36315,1.36273,1.36277,0.00006,26
2010-03-01 00:39:00,1.36311,1.36372,1.36308,1.36341,0.00012,34
2010-03-01 00:40:00,1.36332,1.36347,1.36319,1.36320,0.00010,36
2010-03-01 00:41:00,1.36331,1.36365,1.36308,1.36333,0.00010,47
2010-03-01 00:42:00,1.36350,1.36389,1.36347,1.36375,0.00010,12
2010-03-01 00:43:00,1.36359,1.36367,1.36341,1.36360,0.00012,19
2010-03-01 00:44:00,1.36367,1.36429,1.36340,1.36393,0.00014,59
2010-03-01 00:45:00,1.36366,1.36417,1.36359,1.36364,0.00014,16
2010-03-01 00:46:00,1.36378,1.36458,1.36365,1.36447,0.00012,22
2010-03-01 00:47:00,1.36436,1.36482,1.36425,1.36460,0.00008,20
2010-03-01 00:48:00,1.36442,1.36466,1.36427,1.36458,0.00012,43
2010-03-01 00:49:00,1.36455,1.36476,1.36434,1.36445,0.00014,40
2010-03-01 00:50:00,1.36457,1.36479,1.36368,1.36397,0.00016,67
2010-03-01 00:51:00,1.36430,1.36438,1.36389,1.36392,0.00014,47
2010-03-01 00:52:00,1.36428,1.36463,1.36404,1.36463,0.00010,66
2010-03-01 00:53:00,1.36454,1.36465,1.36422,1.36454,0.00012,108
2010-03-01 00:54:00,1.36443,1.36474,1.36422,1.36463,0.00010,102
